Date of Issue,Subject,Brief Description,url,
,Risk Management and Inter-bank Dealings: Guidelines relating to participation of Residents in the Exchange Traded Currency Derivatives (ETCD) market,Contains conditions for domestic participants in the currency futures and exchange traded currency options.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP147200614F.pdf,
19-06-2014,Export and Import of Currency: Enhanced facilities for residents and non-residents,"All residents and non-residents (except citizens of Pakistan and Bangladesh and also other travellers coming from and going to Pakistan and Bangladesh) allowed to take out Indian currency notes up to Rs. 25,000 while leaving thecountry.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/146APDIR19062014.pdf,
18-06-2014,Annual Return on Foreign Liabilities and Assets Reporting by Indian Companies -Revised format,Modified Foreign Liabilities and Assets(FLA) returns,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FLR180614FLS.pdf,
16-06-2014,"Know Your Customer (KYC) norms/Anti-Money Laundering (AML) standards/ Combating the Financing of Terrorism (CFT)/ Obligation of Authorised Persons under Prevention of Money Laundering Act (PMLA), 2002 - Amendment to Section 13(2) - Cross Border Inward Remittance under Money Transfer Service Scheme ","Authorised Persons, who are Indian Agents under MTSS, permitted to nominate a Director on their Boards as ""designated Director"" to ensure compliance with the obligations under the Prevention of Money Laundering (Amendment) Act, 2012. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIRMTSS16062014F.pdf,
,"Know Your Customer (KYC) norms/Anti-Money Laundering (AML) standards/Combating the Financing of Terrorism (CFT)/ Obligation of Authorised Personsunder Prevention of Money Laundering Act (PMLA), 2002 - Amendment toSection 13(2) - Money Changing Activities","Authorised Persons permitted to nominate a Director on their Boards as ""designated Director"" to ensure compliance with the obligations under the Prevention of Money Laundering (Amendment) Act, 2012. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/143APDIR160614.pdf,
12-06-2014,"Foreign Exchange Management (Export of Goods & Services) (Second Amendment) Regulations, 2014 ",Amendment with respect to 'project exports'.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FE310210714F.pdf,
,Transfer of assets of Liaison Office (LO) / Branch Office (BO) / Project Office (PO) of a foreign entity either to its Wholly Owned Subsidiary (WOS) / Joint Venture (JV) / Others in India- Delegation of powers to AD Banks. ,Powers relating to transfer of assets of LO/BO/PO delegated to AD Category-I banks subject to compliance with the stipulated conditions.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP142120614F.pdf,
09-06-2014,"Basel III Framework on Liquidity Standards - Liquidity Coverage Ratio (LCR), Liquidity Risk Monitoring Tools and LCR Disclosure Standards","Contains the final guidelines on the LCR, Liquidity Risk Monitoring Tools and LCR Disclosure Standards. Clarifies that the LCR will be introduced  in a phased  manner starting with a  minimum requirement of 60%  from January 1, 2015 and reaching minimum 100% on January 1, 2019.  ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CA09062014F.pdf,
06-06-2014,Pledge of shares for business purposes in favour of NBFCs ,"AD Category - I banks delegated the powers to allow pledge of equity shares of an Indian company held by non-resident investor/s in accordance with the FDI policy, in favour of the Non -Banking Financial Companies (NBFCs) - whether listed or not, to secure the credit facilities extended to the resident investee company for bona-fide business purposes / operations, subject to compliance with the stipulated conditions",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AI141P060614F.pdf,
,"Foreign investment in India -participationbyregistered FPIs, SEBI registered long term investors and NRIs in non-convertible/redeemable preference shares or debentures of Indian companies ","Registered Foreign Institutional Investors (FIIs), Qualified Foreign Investors (QFIs) deemed as registered Foreign Portfolio investors, registered Foreign Portfolio Investors (FPIs),long term investors registered with SEBI -Sovereign Wealth Funds (SWFs), Multilateral Agencies, Pension/ Insurance/ Endowment Funds, foreign Central Banks allowed to invest on repatriation basis, in non-convertible/redeemable preference shares or debenturesissued by an Indian company in terms of A.P. (DIR Series) Circular No. 84 dated January 6, 2014and listed on recognized stock exchanges in India, within the overall limit of USD 51 billion earmarked for corporate debt.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/C140AP060614F.pdf,
05-06-2014,Foreign investment in the Insurance Sector - Amendment to the Foreign Direct Investment Scheme ,"Effective from February 4, 2014, foreign investment by way of FDI, investment by FIIs/FPIs and NRIs up to 26% under automatic route permitted in insurance sector subject to the conditions specified in the Press Note 2 (2014 Series) dated February 4, 2014. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APN050614FL.pdf,
04-06-2014,"Foreign Exchange Management (Export and Import of Currency) (Amendment) Regulations, 2014",Amendment to Regulation 3 with respect to currency notes  permitted to be taken outside India.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/309FEMA190614.pdf,
03-06-2014,"Liberalised Remittance Scheme (LRS) for resident individuals-Increase in the limit from USD 75,000 to USD 125,000 ",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR138LR0614.pdf,
28-05-2014,Crystallization of Inoperative Foreign Currency Deposits,"Authorised Dealer banks to crystallise, that is, convert the credit balances in any inoperative foreign currency denominated deposit into Indian Rupee, in the manner stipulated therein",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR136NT0514.pdf,
27-05-2014,Risk Management and Inter Bank Dealings ,"Importers permitted to book forward contracts, under the past performance route, up to 50 per cent of the eligible limit. Further, importers who have already booked contracts up to previous limit of 25 per cent in the current financial year, shall be eligible for difference arising out of the enhanced limits. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP135260514F.pdf,
26-05-2014,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (EighthAmendment) Regulations, 2014",Amendment to Schedule 1 with respect to filing of Annual Return of Foreign Liabilities and Assets as specified by RBI from time to time.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/F307190614FC.pdf,
23-05-2014,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident Outside India) (Seventh Amendment) Regulations, 2014 ","Amendment of Regulation 9, Schedule 1, Schedule 2 and Schedule 2A",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/306FEM150714.pdf,
22-05-2014,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident Outside India) (SixthAmendment) Regulations, 2014",Amendment to Regulation 12 with respect to pledge the shares of a compan in favour of NBFC in India to secure the credit facilities ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FA305060614FE.pdf,
,"Foreign Exchange Management (Transfer or issue of Security by a Person Resident outside India) (fifth Amendment) Regulations, 2014",Amendment to Schedule 5 with respect to listed non-convertible/redeemable preference shares or debentures issued in terms of Regulation 7(2) of the Regulations.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FM304060614FS.pdf,
21-05-2014,"Foreign Exchange Management (Foreign Exchange Derivative Contracts)(Amendment) Regulations, 2014",Addition of permission to a person resident outside India to enter into currency futures or exchange traded currency options.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/303FEMA090614.pdf,
,Import of Gold by Nominated Banks / Agencies / Entities,Star Trading Houses / Premier Trading Houses (STH/PTH) which are registered as nominated agencies by the Director General of Foreign Trade (DGFT) permitted to import gold under 20:80 scheme subject to the stipulated conditions,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/IGNB210514.pdf,
,Export of Goods-Long Term Export Advances,AD Category- I banks permitted to allow exporters having a minimum of three years’satisfactory track record to receive long term export advance up to a maximumtenor of 10 years to be utilized for execution of long term supply contracts for export of goods subject to the stipulated conditions,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/132APDIR210514.pdf,
19-05-2014,Overseas Direct Investments - Limited Liability Partnership (LLP) as Indian Party,"Decided to notify a Limited Liability Partnership (LLP), registered under the Limited Liability Partnership Act, 2008 (6 of 2009), as an ""Indian Party"" under clause (k) of Regulation 2 of the Notification No. FEMA.120/RB-2004 dated July 07, 2004 ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP31N190514C.pdf,
16-05-2014,External Commercial Borrowings (ECB) from Foreign Equity Holder-Simplification of Procedure,"Delegationof powers to AD banks to approve cases under the automatic route with respect to Proposals  for  raising ECB  by  companies  belonging to  manufacturing, infrastructure,  hotels,  hospitals  and  software  sectors from  indirect  equity holders and group companies,Proposals  for  raising ECB  for  companies  in  miscellaneous  services  from direct   /   indirect   equity   holders   and   group   companies,Proposals  for  raising ECB  by  companies  belonging  to  manufacturing, infrastructure,  hotels, hospitals and  software sectors  for  general  corporate purpose and Proposals involving change of lender when the ECB is from FEH-direct / indirect equity holders and group company.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP130160514CF.pdf,
09-05-2014,External Commercial Borrowings (ECB) Policy - Refinance / Repayment ofRupee loans raised from domestic banking system,"decided that eligible Indiancompanies will not be permitted to raise ECB from overseas branches /subsidiaries of Indian banks for the purpose of refinance / repayment of the Rupeeloans raised from the domestic banking system in respect of Scheme of take-out financing, Repayment of existing Rupee loans for companies in infrastructure sector, Spectrum allocation and Repayment of Rupee loans. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/C129APD090514.pdf,
,External Commercial Borrowings (ECB) Policy: Re-schedulement of ECB - Simplification of procedure ,Delegation fo power to designated AD Category - I bank to allow reschedulement of ECB due to changes in draw-down shcedule and / or repayment schedule subject to the stipulated conditions.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP128090514F.pdf,
02-05-2014,Foreign Direct Investment (FDI) in India - Reporting mechanism for transfer of equity shares/ fully and mandatorily convertible preference shares/ fully and mandatorily convertible debentures ,Decided to rationalise the procedure in cases with respect to reporting requirements (Form FC-TRS) for non-resident investors ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP127C020514F.pdf,
25-04-2014,Reporting of Cross Border Wire Transfers,"Advised that   the  'Transaction  Based  Reporting  Format' (TRF)   already developed   by   FIU-IND and   being   used   for   reporting   Cash Transaction  Reports  (CTRs),  Suspicious Transaction  Reports  (STRs) and  Non-Profit  Organizations  Transaction  Reports(NTRs)  may  be  used for  reporting  the Cross  Border  Wire  Transfers.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR126NT0414.pdf,
21-04-2014,Foreign Direct Investment in Pharmaceuticals sector - clarification ,"Prohibits 'non-compete' clauses with respect to FDI for pharmaceutical sector, except in special circumstances with the approva of the FIPB.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR124NT0414.pdf,
16-04-2014,Foreign Direct Investment (FDI) in Limited Liability Partnership (LLP) ,"Decided that Limited Liability Partnership (LLP) formed and registered under the Limited Liability Partnership Act, 2008 shall be eligible to acceptForeign Direct Investment (FDI) subject to the stipulated conditions",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR1704214NT.pdf,
10-04-2014,Trade Credits for Imports into India- Review of all-in-cost ceiling ,"All-in-cost ceiling as specified under paragraph 4 of A.P. (DIR Series) Circular No.28 dated September 11, 2012 to continue to be applicable till June 30, 2014",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIR122AP10042014.pdf,
,External Commercial Borrowing (ECB) Policy - Review of all-in-cost ceiling,"All-in-cost  ceiling  as  specified  under paragraph  2  of A.P.  (DIR  Series)  Circular  No.  99  dated  March  30,  2012 tol continue to be applicable till June 30, 2014.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP121100414F.pdf,
,Rupee Drawing Arrangement - 'Direct to Account' Facility,"Foreign inward remittances received under Rupee Drawing Arrangement (RDA) permitted  to be transferred to the KYC compliant beneficiary bank accounts through electronic mode, such as, NEFT, IMPS, etc. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/120AP100414F.pdf,
07-04-2014,Risk Management & Inter-Bank Dealings:Booking of Forward Contracts -Liberalisation,"All resident individuals, firms and companies, who have actual or anticipated foreign exchange exposures permitted to book foreign exchange forward contracts up to US$250,000 on the basis of a simple declaration without any requirement of further documentation.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AC119070414F.pdf,
,Foreign investment in India in Government Securities ,Foreign investment by all eligible investors including RFPIs permitted only in Government dated securities having residual maturity of one year and above and existing investments in T-bills and Government dated securities of less than one year residual maturity allowed to taper off on maturity/ sale. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP07042014FS.pdf,
04-04-2014,"Foreign Exchange Management Act, 1999 (FEMA)Foreign Exchange (Compounding Proceedings) Rules, 2000 (the Rules) - Compounding of Contraventions under FEMA, 1999 ","Powers to compound certain contraventions under FEMA, 1999 vested with the Regional Offices of the RBI.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/553APD04042014.pdf,
,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Fourth Amendment) Regulations, 2014 ","Amendment to Schedule 1 with respect to Insurance Companies, Brokers, Third Party Administrators and Surveyors and Loss Assessors.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FM301050614NE.pdf,
01-04-2014,Advance Remittance for Import of Rough Diamonds ,"Decided that henceforth Reserve Bank of India will not notify the names of overseas mining companies from whom an importer (other than PSC or Department / Undertaking of Government of India / State Government) may import rough diamonds into India, by way of advance payments, without any limit / bank guarantee/ stand-by letter of Credit. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR116E0414NG.pdf,
28-03-2014,Merchanting Trade Transactions - Revised guidelines,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP115DI28032014.pdf,
27-03-2014,Risk Management and Inter Bank Dealings,"Contracts booked up to 75 percent of the eligible limit mentioned at paragraph 2(a) and 2(b) above may be cancelled with the exporter/importer bearing/being entitled to the loss or gain as the case may be. Contracts booked in excess of 75 percent of the eligible limit mentioned at paragraph 2(a) and 2(b) above shall be on a deliverable basis and cannot be cancelled, implying that in the event of cancellation, the exporter/importer shall have to bear the loss but will not be entitled to receive the gain. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/IMIBD27032014.pdf,
26-03-2014,External Commercial Borrowings (ECB) for Civil Aviation Sector,"The scheme of raising ECB for working capital for Civil Aviation Sector under  A.P. (DIR  Series)  Circular  No.  113  dated  April  24,  2012 to continue till March 31, 2015
 ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIR113AP26032014.pdf,
25-03-2014,"Foreign Portfolio Investor - investment under Portfolio Investment Scheme, Government and Corporate debt",Puts in place a framework for investments under a new scheme called 'Foreign Portfolio Investment' Scheme. Contains salient features of the scheme.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CI112AP250314F.pdf,
21-03-2014,"Foreign Exchange Management (Crystallization of Inoperative Foreign Currency Deposits) Regulations, 2014",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FE10A290514S.pdf,
13-03-2014,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Third Amendment) Regulations, 2014",Amendment to Regulation 2 and Regulation 5 with respect to contribution of foreign capital in the capital structure of a Limited Liability Partnership.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMANOTI17042014.pdf,
,"Foreign Exchange Management (Transfer or Issue of Security by a PersonResident Outside India) (Second Amendment) Regulations, 2014","Amendment to Regulations 2, 5, 14, Schedule I, Schedule 5 and Schedule 7 with respect to Registered Foreign Portfolio Investors (RFPIs).",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FE297250314FS.pdf,
,Rupee Drawing Arrangement - Increase in trade related remittance limit,"The limit of trade transactions increased from the existing Rs 2,00,000/- (Rupees Two Lakh only) per transaction to Rs 5,00,000/- (Rupees Five Lakh only) per transaction",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR111NT0314.pdf,
04-03-2014,Money Transfer Service Scheme - 'Direct to Account' facility,"Permits foreign  inward  remittances  received under  MTSS  to  be transferred to the KYC compliant beneficiary bank account through electronic mode, such as NEFT, IMPS, etc.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP11040314SF.PDF,
03-03-2014,"Foreign Exchange Management (Transfer or Issue of Security by a PersonResident outside India) (Amendment) Regulations, 2014",Schedule 1 amended with respect to the pharmaceuticals sector permitting 100% investment with the specific condition that non-compete clauses would not be permitted except in special circumstances with the approval of the FIPB,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FMNO03032014.pdf,
28-02-2014,Export of Goods and Services: Export Data Processing and Monitoring System (EDPMS) ,Entire shipping documents directed to be reported in the new EDPMS sysrem and old documents to continue to be reported in the old system till completion of the cycle until the old system is discontinued.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIRAP109EDP28022014.pdf,
24-02-2014,"Foreign Exchange Management (Establishment in India of Branch or Officeor Other Place of Business) (Amendment) Regulations, 2014","Addition of Regulation 8 to the Principal Regulations stating that a person resident outside India permitted to establish a Branch or Project or Liaison Office may, at the time of closure of such Branch/Project or Liaison Office must apply to the authorised dealer concerned for transfer of its assets to JV/WOS or any other entity in India.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/295NOTI090614.pdf,
20-02-2014,Foreign Direct Investment (FDI) into a Small Scale Industrial Undertakings (SSI) / Micro & Small Enterprises (MSE) and in Industrial Undertaking manufacturing items reserved for SSI/MSE ,"Guidelines for FDI in Small Scale Industrial Undertakings / Micro and Small Enterprises reviewed in view of the Micro,   Small   and   Medium Enterprises Development  (MSMED)  Act,  2006.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOT107AP0214CI.pdf,
18-02-2014,Facilities to NRIs/PIOs and Foreign Nationals - Liberalisation - Reporting Requirement ,The frequency of reports with respect to the total number of applicants and total amount remitted reduced to monthly as against quarterly.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CAO18022014F.pdf,
17-02-2014,External Commercial Borrowings (ECB) - Reporting arrangements ,"Format of ECB-2 [Reporting of actual transactions of External Commercial Borrowings (ECB) under Foreign Exchange Management Act, 1999 (for all categories and any amount of loan)] modified.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/105AP170214F.pdf,
14-02-2014,"Foreign investment in India by SEBI registered FII, QFI and long terminvestors in Corporate Debt","Existing Commercial Paper sub-limit of USD 3.5 billion reduced by USD 1.5 billion to USD 2 billion. The balance USD 1.5 billion shall,however, continue to be part of the total Corporate debt limit of USD 51 billion andwill be available to eligible foreign investors for investment in Corporate debt.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/104APD140214.pdf,
,Import of Gold / Gold Dore by Nominated Banks /Agencies/Entities -Clarifications,Clarifications with respect to Advance Authorisation (AA) / Duty Free Import Authorisation (DFIA).,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR103NT0214.pdf,
11-02-2014,Foreign Direct Investment - Reporting under FDI Scheme: Amendments in form FC-GPR ,Revised Form FC-GPR.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/102APD110214.pdf,
06-02-2014,"Corrigendum to Notification No. FEMA. 277/2013 - RB dated 8th May 2013
",Minor clarification in Regulation 15,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CFM277210314F.pdf,
04-02-2014,Third party payments for export / import transactions ,"The requirement for ""firm irrevocable order backed by a tripartite agreement"" relaxed where documentary evidence for circumstances leading to third party payments / name of the third party being mentioned in the irrevocable order has been produced.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR100NT0214.pdf,
,Export of Goods and Services: Export Data Processing and Monitoring System (EDPMS) ,Regarding development of a comprehensive IT based system called EDPMS to facilitate banks to report returns through a single platform.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR101EGS0214.pdf,
29-01-2014,Foreign investment in India by SEBI registered Long term investors in Government dated Securities ,"Sub-limit of USD 5 billion  available to long term investors registered with SEBI - Sovereign Wealth Funds (SWFs), Multilateral Agencies, Pension/ Insurance/ Endowment Funds and Foreign Central Banks for investment in Government dated securities enhanced to USD 10 billion, within the total limit of USD 30 billion available for foreign investments in Government securities.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR99012014.pdf,
20-01-2014,Facilities for Persons Resident outside India - Clarification ,"Clarification that a  foreign  investor  is  free  to  remit  funds through  any bank  of  its  choice  for  any  transaction  permitted  under  FEMA,  1999 or the  Regulations  /  Directions  framed  thereunder.  The  funds  thus  remitted  can  be transferred  to  the  designated  AD  Category-I  custodian bank  through  the  banking channel.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AD96200114F.PDF,
,"Know Your Customer (KYC) norms/Anti-Money Laundering (AML) standards/ Combating the Financing of Terrorism (CFT) Obligation of AuthorisedPersons under Prevention of Money Laundering Act, (PMLA), 2002, asamended by Prevention of Money Laundering (Amendment) Act, 2009Money changing activities",Requirement of submission of Resolution of the Board of Directors for undertaking foreign exchange transactions with an Authorised Money Changer(AMC)  done away with.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/97APD200114F.pdf,
17-01-2014,Merchanting Trade Transactions,Revised guidelines for Merchanting Trade Transactions,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR95NT0114.pdf,
16-01-2014,Conversion of External Commercial Borrowing and Lumpsum Fee/Royalty into Equity,"Clarification that the where the  liability  sought  to  be converted  by  the company  is denominated  in  foreign  currency  as  in  case  of ECB, import  of  capital  goods,  etc., it will  be  in  order  to  apply the  exchange rate  prevailing  on  the  date  of  the  agreement between  the  parties  concerned  for  such  conversion.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR94NT160114.pdf,
15-01-2014,Clarification- Establishment of Liaison Office/ Branch Office/ Project Office in India by Foreign Entities- General Permission,"Extending the requirement of special permission  for establishing a branch office or a liaison office or a project office or any other place of business by whatever name called, in India, to Hong Kong and Macau apart from Pakistan, Bangladesh, Sri Lanka, Afghanistan, Iran and China.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/93APDIR150114.pdf,
13-01-2014,Risk Management and Inter Bank Dealings ,"In case of contracted exposures, forward contracts in respect of all current account transactions as well as capital account transactions with a residual maturity of one year or less permitted to be freely cancelled and rebooked. As far as the exposure of the FIIs/QFIs/other portfolio investors is concerned, forward contracts booked by these investors, once cancelled, permitted to be rebooked up to the extent of 10 per cent of the value of the contracts cancelled. The forward contracts booked by these investors may, however, be rolled over on or before maturity. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/92APDIR130114.pdf,
09-01-2014,"Provisions under section 6 (4) of Foreign Exchange Management Act, 1999 -Clarifications","Clarification regarding the nature of transactions covered under Section 6(4) of FEMA, 1999 [ section 6(4) :  A person resident in India may hold, own, transfer or invest in foreign currency, foreign security or any immovable property situated outside India if such currency, security or property was acquired, held or owned by such person when he was resident outside India or inherited from a person who was resident outside India.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AD90090114NF.pdf,
,Memorandum of Instructions for Opening and Maintenance of Rupee/ Foreign CurrencyVostro Accountsof Non-resident Exchange Houses,Revised list of Permitted Transactions under Rupee Drawing Arrangements(RDAs),https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AD88090114FS.pdf,
,Foreign Direct Investment- Pricing Guidelines for FDI instruments with optionality clauses ,Optionality clauses allowed in equity shares and compulsorily and mandatorily convertible preference shares/debentures to be issued to a person resident outside India under the Foreign Direct  Investment  (FDI) Scheme.  The  optionality  clause  will  oblige  the  buy-back  of   securities from  the  investor at  the  price  prevailing/value  determined  at  the  time of exercise  of  the  optionality  so  as  to  enable the  investor  to  exit without  any  assured return. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR0901201486EN.pdf,
,Resident Bank account maintained by residents in India - Joint holder - liberalization ,"AD banks permitted to include an NRI close relative (relatives as defined in Section 6 of the Companies Act, 1956) in existing / new resident bank accounts as joint holder with the resident account holder on ""Either or Survivor"" basis subject to the stipulated conditions.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP87090114FS.PDF,
06-01-2014,External Commercial Borrowings (ECB) Policy - Liberalisation of definition of Infrastructure Sector ,"For the purpose of ECB, 'Maintenance, Repairs and Overhaul' (MRO) will also be treated as a part of airport infrastructure. Accordingly, MRO, as distinct from the related services which are other than infrastructure, will be considered as part of the sub-sector of Airport in the Transport Sector of Infrastructure. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/85AP0114NTF.pdf,
,Issue of Non convertible/ redeemable bonus preference shares or debentures - Clarifications ,"An Indian company may issue non-convertible/redeemable preference shares or debentures to non-resident shareholders, including the depositories that act as trustees for the ADR/GDR holders, by way of distribution as bonus from its general reserves under a Scheme of Arrangement approved by a Court in India under the provisions of the Companies Act, as applicable, subject to no-objection from the Income Tax Authorities. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR84060114.pdf,
03-01-2014,Overseas Direct Investments - Rollover of Guarantees,"Decided  not  to  treat /  reckon  the  renewal  /  rollover  of  an existing / original guarantee, which is part of the total financial commitment of the Indian  party  in  terms  of  Regulation  6 of Notification No. FEMA.120/RB 2004 dated July 7, 2004 [Foreign Exchange   Management   (Transfer   or Issue   of   any   Foreign   Security) (Amendment)  Regulations,  2004]  as a fresh financial commitment subject to the provisions stipulated in the notification.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CAI03012014RS.pdf,
,,,,
2013,,,,
,,,,
31-12-2013,Import of Gold by Nominated Banks /Agencies/Entities,Clarifications regarding import of gold by nominated banks / agencies / entities.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP82311213F.pdf,
24-12-2013,"Borrowing and Lending in Rupees -Investments by persons resident outside India in the tax free, secured, redeemable, non-convertible bonds","Resident entities who have borrowed in Rupees from  a  person  resident  outside  India permitted  to   issue   tax-free,   secured, redeemable,  non-convertible  bonds  in  Rupees to  persons  resident  outside  India  to use such borrowed funds for on lending / re-lending to the infrastructure sector; and for  keeping in  fixed  deposits  with  banks in  India pending  utilization by them for permissible end-uses.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIA241213FR.PDF,
03-12-2013,External Commercial Borrowings (ECB) by Holding Companies / Core Investment Companies for the project use in Special Purpose Vehicles (SPVs) ,"Holding Companies / Core Investment Companies (CICs) coming under the regulatory framework of the Reserve Bank permitted to raise ECB under the automatic route/approval route, as the case may be, for project use in Special Purpose Vehicles (SPVs) subject to terms and conditions stipulated therein.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/78AIR031213FS.pdf,
22-11-2013,Overseas Foreign Currency Borrowings by Authorised Dealer Banks ,"if any bank is being sanctioned any loan from any international/multilateral financial institutions and is receiving a firm commitment in this regard on or before November 30, 2013, it will be allowed to enter into a forward-forward swap under the first leg of which the bank will sell forward the contracted amount of foreign currency corresponding to the loan amount for delivery up to December 31, 2013. However, if the bank is not in a position to deliver the contracted amount of foreign currency on the contracted date, it would have to pay the difference between concessional swap rate contracted and the market swap rate plus one hundred basis points.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIR77AP22112013.pdf,
19-11-2013,Trade Credit for imports into India- Online submission of data on issuance of Guarantee/Letter of Undertaking (LoU) /Letter of Comfort (LoC) by ADs ,"Arrangement for reporting of data on issuance of guarantees/ LoUs/ LoCs by all AD banks decided in consolidated statement, at quarterly intervals, shifted from manual submission (and in MS-Excel file through email) to eXtensible Business Reporting Language (XBRL) platform from quarter ended September 30, 2013. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CR75191113F.pdf,
12-11-2013,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Seventeenth Amendment) Regulations, 2013 ",Amendment to Regulation 5 and Regulation 9 with respect to shares or convertible debentures containing an optionality clause.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/294NOTI090114.pdf,
,"Foreign Exchange Management (Establishment in India of Branch or Officeor Other Place ofBusiness) (Amendment) Regulations, 2013",Hong Kong and Macau added to the list of countries in Regulation 4 of the Foreign  Exchange  Management  (Establishment  in  India  of  Branch  or Office  or  Other  Place  of Business) Regulations 2000 ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT293150114F.pdf,
